"","Var1","0","1","sum","no_of_zero"
"1","MCDOWELL-N_true_false",84,123,207,40.6
"2","MCX_true_false",36,55,91,39.6
"3","METROPOLIS_true_false",0,6,6,0
"4","MFSL_true_false",92,145,237,38.8
"5","MGL_true_false",21,18,39,53.8
"6","MHRIL_true_false",75,48,123,61
"7","MIDHANI_true_false",1,17,18,5.6
"8","MINDACORP_true_false",38,53,91,41.8
"9","MINDAIND_true_false",65,87,152,42.8
"10","MINDTREE_true_false",50,101,151,33.1
"11","MMTC_true_false",95,22,117,81.2
"12","MOIL_true_false",66,40,106,62.3
"13","MOTHERSUMI_true_false",63,144,207,30.4
"14","MOTILALOFS_true_false",70,75,145,48.3
"15","MPHASIS_true_false",83,124,207,40.1
"16","MRF_true_false",59,148,207,28.5
"17","MRPL_true_false",133,104,237,56.1
"18","MUTHOOTFIN_true_false",26,75,101,25.7
"19","NAM-INDIA_true_false",6,17,23,26.1
"20","NATCOPHARM_true_false",67,170,237,28.3
"21","NATIONALUM_true_false",109,128,237,46
"22","NAUKRI_true_false",39,116,155,25.2
"23","NAVINFLUOR_true_false",41,107,148,27.7
"24","NAVNETEDUL_true_false",93,114,207,44.9
"25","NBCC_true_false",34,56,90,37.8
"26","NCC_true_false",93,113,206,45.1
"27","NESCO_true_false",33,105,138,23.9
"28","NESTLEIND_true_false",86,120,206,41.7
"29","NETWORK18_true_false",112,94,206,54.4
"30","NFL_true_false",89,65,154,57.8
"31","NH_true_false",27,18,45,60
"32","NHPC_true_false",81,40,121,66.9
"33","NIACL_true_false",18,5,23,78.3
"34","NILKAMAL_true_false",97,140,237,40.9
"35","NLCINDIA_true_false",119,111,230,51.7
"36","NMDC_true_false",99,40,139,71.2
"37","NOCIL_true_false",94,113,207,45.4
"38","NTPC_true_false",102,77,179,57
"39","OBEROIRLTY_true_false",44,64,108,40.7
"40","OFSS_true_false",0,0,0,NA
"41","OIL_true_false",0,0,0,NA
"42","OMAXE_true_false",0,0,0,NA
"43","ONGC_true_false",0,0,0,NA
"44","ORIENTCEM_true_false",0,0,0,NA
"45","ORIENTELEC_true_false",0,0,0,NA
"46","ORIENTREF_true_false",0,0,0,NA
"47","PAGEIND_true_false",0,0,0,NA
"48","PEL_true_false",0,0,0,NA
"49","PERSISTENT_true_false",0,0,0,NA
"50","PETRONET_true_false",0,0,0,NA
"51","PFC_true_false",75,77,152,49.3
"52","PFIZER_true_false",82,125,207,39.6
"53","PGHH_true_false",52,154,206,25.2
"54","PGHL_true_false",82,125,207,39.6
"55","PHILIPCARB_true_false",95,112,207,45.9
"56","PHOENIXLTD_true_false",55,95,150,36.7
"57","PIDILITIND_true_false",21,186,207,10.1
"58","PIIND_true_false",13,87,100,13
"59","PNB_true_false",110,97,207,53.1
"60","PNBHOUSING_true_false",31,4,35,88.6
"61","PNCINFRA_true_false",18,35,53,34
"62","POLYCAB_true_false",0,6,6,0
"63","POLYMED_true_false",31,63,94,33
"64","POLYPLEX_true_false",76,131,207,36.7
"65","POWERGRID_true_false",67,77,144,46.5
"66","POWERINDIA_true_false",0,0,0,NA
"67","PRAJIND_true_false",99,108,207,47.8
"68","PRESTIGE_true_false",49,59,108,45.4
"69","PRSMJOHNSN_true_false",83,124,207,40.1
"70","PSPPROJECT_true_false",17,12,29,58.6
"71","PTC_true_false",95,91,186,51.1
"72","PVR_true_false",61,104,165,37
"73","QUESS_true_false",26,13,39,66.7
"74","RADICO_true_false",98,98,196,50
"75","RAIN_true_false",71,68,139,51.1
"76","RAJESHEXPO_true_false",74,117,191,38.7
"77","RALLIS_true_false",74,133,207,35.7
"78","RAMCOCEM_true_false",55,152,207,26.6
"79","RATNAMANI_true_false",59,102,161,36.6
"80","RAYMOND_true_false",100,113,213,46.9
"81","RBLBANK_true_false",24,14,38,63.2
"82","RCF_true_false",119,88,207,57.5
"83","RECLTD_true_false",68,71,139,48.9
"84","REDINGTON_true_false",73,79,152,48
"85","RELAXO_true_false",9,91,100,9
"86","RELIANCE_true_false",51,162,213,23.9
"87","RITES_true_false",10,5,15,66.7
"88","RVNL_true_false",1,5,6,16.7
"89","SAIL_true_false",108,105,213,50.7
"90","SANOFI_true_false",49,158,207,23.7
"91","SBICARD_true_false",0,0,0,NA
"92","SBILIFE_true_false",4,20,24,16.7
"93","SBIN_true_false",81,132,213,38
"94","SCHAEFFLER_true_false",58,149,207,28
"95","SCHNEIDER_true_false",63,28,91,69.2
"96","SCI_true_false",95,112,207,45.9
"97","SEQUENT_true_false",19,24,43,44.2
"98","SFL_true_false",19,15,34,55.9
"99","SHILPAMED_true_false",46,72,118,39
"100","SHOPERSTOP_true_false",107,66,173,61.8
